week,age_range,total_deaths
2020-12-27,>90,NA
2020-12-27,0-9,0
2020-12-27,10-19,0
2020-12-27,20-29,14
2020-12-27,30-39,69
2020-12-27,40-49,286
2020-12-27,50-59,1109
2020-12-27,60-69,1807
2020-12-27,70-79,3333
2020-12-27,80-89,88
2021-01-03,>90,956
2021-01-03,0-9,5
2021-01-03,10-19,0
2021-01-03,20-29,3
2021-01-03,30-39,5
2021-01-03,40-49,33
2021-01-03,50-59,123
2021-01-03,60-69,368
2021-01-03,70-79,1069
2021-01-03,80-89,1971
2021-01-10,>90,709
2021-01-10,0-9,0
2021-01-10,10-19,5
2021-01-10,20-29,3
2021-01-10,30-39,3
2021-01-10,40-49,22
2021-01-10,50-59,106
2021-01-10,60-69,300
2021-01-10,70-79,737
2021-01-10,80-89,1357
2021-01-17,>90,801
2021-01-17,0-9,0
2021-01-17,10-19,0
2021-01-17,20-29,2
2021-01-17,30-39,12
2021-01-17,40-49,31
2021-01-17,50-59,80
2021-01-17,60-69,282
2021-01-17,70-79,765
2021-01-17,80-89,1532
2021-01-24,>90,691
2021-01-24,0-9,0
2021-01-24,10-19,0
2021-01-24,20-29,1
2021-01-24,30-39,2
2021-01-24,40-49,22
2021-01-24,50-59,81
2021-01-24,60-69,268
2021-01-24,70-79,666
2021-01-24,80-89,1272
2021-01-31,>90,604
2021-01-31,0-9,0
2021-01-31,10-19,0
2021-01-31,20-29,0
2021-01-31,30-39,4
2021-01-31,40-49,13
2021-01-31,50-59,68
2021-01-31,60-69,236
2021-01-31,70-79,573
2021-01-31,80-89,1080
2021-02-07,>90,546
2021-02-07,0-9,1
2021-02-07,10-19,5
2021-02-07,20-29,3
2021-02-07,30-39,2
2021-02-07,40-49,21
2021-02-07,50-59,80
2021-02-07,60-69,227
2021-02-07,70-79,595
2021-02-07,80-89,1071
2021-02-14,>90,447
2021-02-14,0-9,0
2021-02-14,10-19,0
2021-02-14,20-29,2
2021-02-14,30-39,3
2021-02-14,40-49,22
2021-02-14,50-59,69
2021-02-14,60-69,230
2021-02-14,70-79,476
2021-02-14,80-89,874
2021-02-21,>90,336
2021-02-21,0-9,0
2021-02-21,10-19,1
2021-02-21,20-29,0
2021-02-21,30-39,3
2021-02-21,40-49,25
2021-02-21,50-59,71
2021-02-21,60-69,184
2021-02-21,70-79,484
2021-02-21,80-89,770
2021-02-28,>90,443
2021-02-28,0-9,0
2021-02-28,10-19,0
2021-02-28,20-29,2
2021-02-28,30-39,3
2021-02-28,40-49,19
2021-02-28,50-59,71
2021-02-28,60-69,211
2021-02-28,70-79,587
2021-02-28,80-89,946
2021-03-07,>90,497
2021-03-07,0-9,0
2021-03-07,10-19,3
2021-03-07,20-29,1
2021-03-07,30-39,6
2021-03-07,40-49,29
2021-03-07,50-59,88
2021-03-07,60-69,217
2021-03-07,70-79,606
2021-03-07,80-89,1058
2021-03-14,>90,443
2021-03-14,0-9,0
2021-03-14,10-19,1
2021-03-14,20-29,0
2021-03-14,30-39,6
2021-03-14,40-49,20
2021-03-14,50-59,108
2021-03-14,60-69,260
2021-03-14,70-79,663
2021-03-14,80-89,921
2021-03-21,>90,508
2021-03-21,0-9,0
2021-03-21,10-19,0
2021-03-21,20-29,2
2021-03-21,30-39,9
2021-03-21,40-49,27
2021-03-21,50-59,90
2021-03-21,60-69,343
2021-03-21,70-79,759
2021-03-21,80-89,1256
2021-03-28,>90,400
2021-03-28,0-9,0
2021-03-28,10-19,0
2021-03-28,20-29,2
2021-03-28,30-39,3
2021-03-28,40-49,33
2021-03-28,50-59,107
2021-03-28,60-69,321
2021-03-28,70-79,731
2021-03-28,80-89,985
2021-04-04,>90,541
2021-04-04,0-9,0
2021-04-04,10-19,1
2021-04-04,20-29,0
2021-04-04,30-39,2
2021-04-04,40-49,31
2021-04-04,50-59,140
2021-04-04,60-69,436
2021-04-04,70-79,884
2021-04-04,80-89,1273
2021-04-11,>90,392
2021-04-11,0-9,0
2021-04-11,10-19,0
2021-04-11,20-29,3
2021-04-11,30-39,2
2021-04-11,40-49,17
2021-04-11,50-59,110
2021-04-11,60-69,311
2021-04-11,70-79,768
2021-04-11,80-89,937
2021-04-18,>90,450
2021-04-18,0-9,0
2021-04-18,10-19,1
2021-04-18,20-29,4
2021-04-18,30-39,3
2021-04-18,40-49,34
2021-04-18,50-59,149
2021-04-18,60-69,400
2021-04-18,70-79,928
2021-04-18,80-89,1066
2021-04-25,>90,307
2021-04-25,0-9,0
2021-04-25,10-19,1
2021-04-25,20-29,1
2021-04-25,30-39,5
2021-04-25,40-49,14
2021-04-25,50-59,94
2021-04-25,60-69,313
2021-04-25,70-79,586
2021-04-25,80-89,631
2021-05-02,>90,216
2021-05-02,0-9,5
2021-05-02,10-19,1
2021-05-02,20-29,2
2021-05-02,30-39,10
2021-05-02,40-49,20
2021-05-02,50-59,76
2021-05-02,60-69,254
2021-05-02,70-79,495
2021-05-02,80-89,520
2021-05-09,>90,172
2021-05-09,0-9,0
2021-05-09,10-19,1
2021-05-09,20-29,5
2021-05-09,30-39,4
2021-05-09,40-49,19
2021-05-09,50-59,80
2021-05-09,60-69,194
2021-05-09,70-79,454
2021-05-09,80-89,426
2021-05-16,>90,168
2021-05-16,0-9,0
2021-05-16,10-19,1
2021-05-16,20-29,1
2021-05-16,30-39,4
2021-05-16,40-49,13
2021-05-16,50-59,50
2021-05-16,60-69,173
2021-05-16,70-79,351
2021-05-16,80-89,361
2021-05-23,>90,86
2021-05-23,0-9,5
2021-05-23,10-19,1
2021-05-23,20-29,1
2021-05-23,30-39,5
2021-05-23,40-49,9
2021-05-23,50-59,46
2021-05-23,60-69,153
2021-05-23,70-79,275
2021-05-23,80-89,205
2021-05-30,>90,71
2021-05-30,0-9,1
2021-05-30,10-19,0
2021-05-30,20-29,2
2021-05-30,30-39,3
2021-05-30,40-49,7
2021-05-30,50-59,38
2021-05-30,60-69,96
2021-05-30,70-79,148
2021-05-30,80-89,137
2021-06-06,>90,174
2021-06-06,0-9,5
2021-06-06,10-19,0
2021-06-06,20-29,0
2021-06-06,30-39,8
2021-06-06,40-49,26
2021-06-06,50-59,92
2021-06-06,60-69,237
2021-06-06,70-79,397
2021-06-06,80-89,414
2021-06-13,>90,51
2021-06-13,0-9,5
2021-06-13,10-19,0
2021-06-13,20-29,0
2021-06-13,30-39,5
2021-06-13,40-49,4
2021-06-13,50-59,32
2021-06-13,60-69,55
2021-06-13,70-79,68
2021-06-13,80-89,85
2021-06-20,>90,40
2021-06-20,0-9,1
2021-06-20,10-19,2
2021-06-20,20-29,3
2021-06-20,30-39,0
2021-06-20,40-49,2
2021-06-20,50-59,12
2021-06-20,60-69,32
2021-06-20,70-79,66
2021-06-20,80-89,79
2021-06-27,>90,27
2021-06-27,0-9,1
2021-06-27,10-19,0
2021-06-27,20-29,0
2021-06-27,30-39,3
2021-06-27,40-49,0
2021-06-27,50-59,14
2021-06-27,60-69,23
2021-06-27,70-79,47
2021-06-27,80-89,58
2021-07-04,>90,22
2021-07-04,0-9,0
2021-07-04,10-19,0
2021-07-04,20-29,1
2021-07-04,30-39,2
2021-07-04,40-49,5
2021-07-04,50-59,20
2021-07-04,60-69,24
2021-07-04,70-79,24
2021-07-04,80-89,49
2021-07-11,>90,39
2021-07-11,0-9,0
2021-07-11,10-19,0
2021-07-11,20-29,0
2021-07-11,30-39,2
2021-07-11,40-49,7
2021-07-11,50-59,24
2021-07-11,60-69,28
2021-07-11,70-79,85
2021-07-11,80-89,100
2021-07-18,>90,32
2021-07-18,0-9,0
2021-07-18,10-19,0
2021-07-18,20-29,0
2021-07-18,30-39,1
2021-07-18,40-49,3
2021-07-18,50-59,6
2021-07-18,60-69,7
2021-07-18,70-79,25
2021-07-18,80-89,33
2021-07-25,>90,23
2021-07-25,0-9,2
2021-07-25,10-19,0
2021-07-25,20-29,0
2021-07-25,30-39,3
2021-07-25,40-49,3
2021-07-25,50-59,10
2021-07-25,60-69,28
2021-07-25,70-79,41
2021-07-25,80-89,56
2021-08-01,>90,21
2021-08-01,0-9,0
2021-08-01,10-19,1
2021-08-01,20-29,2
2021-08-01,30-39,1
2021-08-01,40-49,5
2021-08-01,50-59,7
2021-08-01,60-69,11
2021-08-01,70-79,49
2021-08-01,80-89,48
2021-08-08,>90,25
2021-08-08,0-9,0
2021-08-08,10-19,0
